id_transacao,id_cliente,categoria,valor
1212,23,Alimentos,34.08
1213,23,Eletronicos,711.04
1214,23,Livros,102.65
1215,23,Casa,452.99
1216,23,Eletronicos,206.16
1217,23,Casa,457.42
1218,23,Livros,55.49
1219,23,Livros,115.01
1220,23,Livros,77.34
1221,23,Casa,91.27
1222,23,Livros,52.87
1223,24,Casa,388.57
1224,24,Eletronicos,269.14
1225,24,Casa,272.49
1226,24,Roupas,154.8
1227,25,Casa,207.91
1228,25,Roupas,291.85
1229,25,Eletronicos,949.59
1230,25,Livros,106.69
1231,25,Casa,150.16
1232,25,Eletronicos,1012.95
1233,25,Roupas,78.12
1234,25,Casa,88.18
1235,25,Alimentos,122.54
1236,25,Casa,216.79
1237,25,Livros,43.67
1238,25,Eletronicos,771.48
1239,25,Livros,57.63
1240,25,Alimentos,158.77
1241,26,Alimentos,61.01
1242,26,Alimentos,35.57
1243,26,Alimentos,61.93
1244,26,Roupas,161.85
1245,26,Roupas,232.65
1246,26,Casa,420.26
1247,26,Eletronicos,865.09
1248,27,Eletronicos,543.61
1249,27,Eletronicos,237.04
1250,27,Eletronicos,384.78
1251,27,Roupas,43.16
1252,27,Casa,69.42
1253,27,Casa,69.53
1254,27,Casa,496.83
1255,27,Casa,163.85
1256,27,Alimentos,194.32
1257,27,Roupas,83.22
1258,27,Eletronicos,880.54
1259,27,Eletronicos,808.94
1260,27,Alimentos,181.71
1261,27,Eletronicos,1111.02
1262,27,Roupas,287.11
1263,27,Livros,30.68
1264,27,Casa,174.82
1265,27,Livros,84.68
1266,27,Roupas,99.64
1267,28,Livros,56.03
1268,28,Livros,118.62
1269,28,Eletronicos,443.75
1270,28,Casa,416.21
1271,28,Livros,47.1
1272,29,Casa,473.24
1273,29,Alimentos,149.26
1274,29,Eletronicos,589.16
1275,29,Roupas,183.41
1276,29,Casa,61.87
1277,29,Eletronicos,966.48
1278,29,Roupas,296.69
1279,29,Eletronicos,545.58
1280,29,Roupas,139.03
1281,29,Alimentos,170.79
1282,30,Eletronicos,642.13
1283,30,Alimentos,39.76
1284,30,Casa,75.37
1285,30,Livros,101.29
1286,30,Casa,498.49
1287,30,Casa,313.32
1288,31,Casa,390.69
1289,31,Alimentos,60.76
1290,31,Eletronicos,285.62
1291,31,Alimentos,65.83
1292,31,Livros,42.86
1293,31,Eletronicos,944.85
1294,31,Roupas,133.12
1295,31,Roupas,169.52
1296,31,Alimentos,111.23
1297,31,Livros,101.64
1298,31,Livros,76.09
1299,31,Alimentos,89.64
1300,32,Casa,337.71
1301,32,Alimentos,54.4
1302,32,Livros,118.05
1303,32,Roupas,193.38
1304,32,Alimentos,31.84
1305,32,Roupas,130.55
1306,33,Eletronicos,972.84
1307,33,Livros,49.8
1308,33,Roupas,264.21
1309,33,Casa,408.41
1310,33,Roupas,280.91
1311,33,Roupas,239.92
1312,33,Livros,65.91
1313,33,Roupas,201.41
1314,33,Roupas,125.48
1315,33,Alimentos,122.24
1316,33,Alimentos,29.03
1317,33,Eletronicos,633.13
1318,33,Alimentos,40.68
1319,34,Livros,54.57
1320,34,Alimentos,176.75
1321,34,Alimentos,138.5
1322,34,Roupas,196.5
1323,34,Alimentos,22.56
1324,35,Roupas,112.43
1325,35,Casa,64.31
1326,35,Eletronicos,711.14
1327,35,Livros,40.63
1328,35,Roupas,73.47
1329,35,Roupas,219.5
1330,35,Eletronicos,246.91
1331,35,Eletronicos,872.17
1332,35,Alimentos,185.36
1333,35,Casa,51.17
1334,35,Livros,100.62
1335,35,Eletronicos,777.14
1336,36,Roupas,237.59
1337,36,Roupas,234.34
1338,36,Alimentos,61.7
1339,36,Alimentos,180.61
1340,36,Alimentos,113.44
1341,37,Roupas,132.08
1342,37,Alimentos,59.86
1343,37,Eletronicos,924.28
1344,37,Livros,22.01
1345,37,Eletronicos,1032.75
1346,37,Roupas,179.19
1347,37,Eletronicos,1085.05
1348,37,Livros,67.4
1349,37,Roupas,245.18
1350,38,Roupas,62.6
1351,38,Roupas,185.01
1352,38,Eletronicos,742.68
1353,38,Roupas,113.78
1354,38,Livros,84.59
1355,38,Roupas,103.53
1356,39,Casa,198.66
1357,39,Eletronicos,399.09
1358,39,Casa,118.79
1359,39,Livros,105.08
1360,39,Eletronicos,234.25
1361,39,Alimentos,18.37
1362,39,Casa,492.07
1363,39,Roupas,189.76
1364,39,Alimentos,175.12
1365,39,Eletronicos,665.29
1366,39,Alimentos,166.86
1367,39,Roupas,184.76
1368,39,Roupas,112.79
1369,39,Livros,40.51
1370,39,Roupas,124.16
1371,39,Alimentos,51.91
1372,39,Livros,44.24
1373,39,Eletronicos,791.15
1374,40,Casa,277.75
1375,40,Livros,52.06
1376,40,Alimentos,24.59
1377,40,Roupas,158.11
1378,40,Casa,78.52
1379,40,Livros,40.17
1380,40,Roupas,62.85
1381,41,Eletronicos,948.24
1382,41,Alimentos,102.54
1383,41,Alimentos,79.54
1384,41,Eletronicos,1043.26
1385,41,Livros,116.5
1386,41,Casa,378.89
1387,41,Eletronicos,365.25
1388,41,Alimentos,27.3
1389,41,Livros,104.18
1390,41,Alimentos,162.12
1391,41,Livros,36.37
1392,41,Casa,133.88
1393,42,Alimentos,132.25
1394,42,Livros,51.62
1395,42,Roupas,142.04
1396,42,Alimentos,130.46
1397,43,Eletronicos,393.82
1398,43,Eletronicos,561.06
1399,43,Roupas,181.32
1400,43,Alimentos,115.43
1401,43,Alimentos,131.13
1402,43,Roupas,76.21
1403,43,Casa,272.94
1404,43,Alimentos,160.89
1405,44,Eletronicos,477.31
1406,44,Casa,400.36
1407,44,Eletronicos,185.21
1408,44,Roupas,238.24
1409,44,Alimentos,154.61
1410,44,Casa,99.78
1411,44,Livros,65.7
1412,45,Casa,292.94
1413,45,Casa,153.16
1414,45,Livros,97.19
1415,45,Alimentos,133.61
1416,45,Alimentos,119.62
1417,45,Roupas,105.47
1418,45,Casa,422.06
1419,45,Roupas,129.06
1420,45,Roupas,286.29
1421,45,Livros,111.19
1422,45,Roupas,198.98
1423,46,Alimentos,187.44
1424,46,Livros,111.88
1425,46,Casa,465.12
1426,46,Roupas,240.52
1427,46,Roupas,57.92
1428,47,Casa,96.91
1429,47,Eletronicos,1121.85
1430,47,Eletronicos,268.9
1431,47,Casa,124.48
1432,47,Livros,32.47
1433,47,Eletronicos,498.75
1434,47,Alimentos,124.39
1435,47,Casa,220.69
1436,47,Casa,200.84
1437,47,Livros,98.78
1438,48,Eletronicos,269.98
1439,48,Livros,73.74
1440,48,Alimentos,185.75
1441,49,Roupas,165.02
1442,49,Alimentos,98.66
1443,49,Alimentos,21.08
1444,49,Alimentos,41.06
1445,49,Eletronicos,673.29
1446,49,Casa,461.68
1447,49,Eletronicos,969.52
1448,49,Alimentos,131.97
1449,49,Livros,41.27
1450,49,Eletronicos,336.94
1451,49,Livros,65.9
1452,49,Livros,61.46
1453,49,Livros,73.51
1454,49,Eletronicos,464.58
1455,50,Alimentos,53.83
1456,50,Alimentos,79.64
1457,50,Casa,331.24
1458,50,Casa,262.43
1459,50,Alimentos,27.16
1460,50,Alimentos,98.86
